Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00   12000/24000       std::vector<float, std::allocator<float> >::vector<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, void>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::allocator<float> const&) [144]
[163]    0.0    0.00    0.00   24000         std::_Vector_base<float, std::allocator<float> >::_Vector_base(std::allocator<float> const&) [163]
                0.00    0.00   24000/408836      std::_Vector_base<float, std::allocator<float> >::_Vector_impl::_Vector_impl(std::allocator<float> const&) [108]
-----------------------------------------------
                0.00    0.00       1/1           mnist::MNIST_dataset<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char> mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long) [21]
[164]    0.0    0.00    0.00       1         std::vector<unsigned char> mnist::read_test_labels<std::vector, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [164]
                0.00    0.00       1/2           void mnist::read_mnist_label_file<std::vector, unsigned char>(std::vector<unsigned char>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [156]
                0.00    0.00       1/4           std::vector<unsigned char, std::allocator<unsigned char> >::vector() [624]
                0.00    0.00       1/4           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [636]
-----------------------------------------------
                0.00    0.00       1/1           mnist::MNIST_dataset<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char> mnist::read_dataset_direct<std::vector, std::vector<unsigned char, std::allocator<unsigned char> >, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long) [21]
[165]    0.0    0.00    0.00       1         std::vector<unsigned char> mnist::read_training_labels<std::vector, unsigned char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [165]
                0.00    0.00       1/2           void mnist::read_mnist_label_file<std::vector, unsigned char>(std::vector<unsigned char>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) [156]
                0.00    0.00       1/4           std::vector<unsigned char, std::allocator<unsigned char> >::vector() [624]
                0.00    0.00       1/4           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) [636]
-----------------------------------------------
                0.00    0.00   12000/12000       std::__shrink_to_fit_aux<std::vector<float, std::allocator<float> >, true>::_S_do_it(std::vector<float, std::allocator<float> >&) [131]
[166]    0.0    0.00    0.00   12000         std::_Vector_base<float, std::allocator<float> >::get_allocator() const [166]
                0.00    0.00   12000/886436      std::allocator<float>::allocator(std::allocator<float> const&) [84]
                0.00    0.00   12000/2319316     std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const [259]
-----------------------------------------------
                0.00    0.00   12000/12000       float* std::uninitialized_copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [169]
[167]    0.0    0.00    0.00   12000         float* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [167]
                0.00    0.00   12000/12000       float* std::copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [171]
-----------------------------------------------
                0.00    0.00   12000/12000       float* std::copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [171]
[168]    0.0    0.00    0.00   12000         float* std::__copy_move_a<true, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*) [168]
                0.00    0.00   12000/6176276     float* std::__niter_base<float*>(float*) [60]
                0.00    0.00   24000/24000       float* std::__niter_base<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [182]
                0.00    0.00   12000/12000       float* std::__copy_move_a1<true, float*, float*>(float*, float*, float*) [407]
                0.00    0.00   12000/408836      float* std::__niter_wrap<float*>(float* const&, float*) [286]
-----------------------------------------------
                0.00    0.00   12000/12000       float* std::__uninitialized_copy_a<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*, float>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*, std::allocator<float>&) [170]
[169]    0.0    0.00    0.00   12000         float* std::uninitialized_copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [169]
                0.00    0.00   12000/12000       float* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [167]
-----------------------------------------------
                0.00    0.00   12000/12000       void std::vector<float, std::allocator<float> >::_M_range_initialize<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::forward_iterator_tag) [150]
[170]    0.0    0.00    0.00   12000         float* std::__uninitialized_copy_a<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*, float>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*, std::allocator<float>&) [170]
                0.00    0.00   12000/12000       float* std::uninitialized_copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [169]
-----------------------------------------------
                0.00    0.00   12000/12000       float* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [167]
[171]    0.0    0.00    0.00   12000         float* std::copy<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*>(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, float*) [171]
                0.00    0.00   12000/12000       float* std::__copy_move_a<true, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*) [168]
                0.00    0.00   24000/24000       decltype (__miter_base(({parm#1}.base)())) std::__miter_base<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >) [389]
-----------------------------------------------
                0.00    0.00      60/418         void __gnu_cxx::new_allocator<Neuron>::construct<Neuron, Neuron>(Neuron*, Neuron&&) [210]
                0.00    0.00     358/418         void std::_Construct<Neuron, Neuron const&>(Neuron*, Neuron const&) [173]
[172]    0.0    0.00    0.00     418         Neuron::Neuron(Neuron const&) [172]
                0.00    0.00     836/384836      std::vector<float, std::allocator<float> >::vector(std::vector<float, std::allocator<float> > const&) [53]
-----------------------------------------------
                0.00    0.00      78/358         Neuron* std::__uninitialized_copy<false>::__uninit_copy<Neuron const*, Neuron*>(Neuron const*, Neuron const*, Neuron*) [193]
                0.00    0.00     280/358         Neuron* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*) [175]
[173]    0.0    0.00    0.00     358         void std::_Construct<Neuron, Neuron const&>(Neuron*, Neuron const&) [173]
                0.00    0.00     358/418         Neuron::Neuron(Neuron const&) [172]
                0.00    0.00     358/2372592     operator new(unsigned long, void*) [81]
                0.00    0.00     358/358         Neuron const& std::forward<Neuron const&>(std::remove_reference<Neuron const&>::type&) [413]
-----------------------------------------------
                0.00    0.00       2/8           void __gnu_cxx::new_allocator<Linear>::construct<Linear, Linear const&>(Linear*, Linear const&) [201]
                0.00    0.00       2/8           void __gnu_cxx::new_allocator<Linear>::construct<Linear, Linear>(Linear*, Linear&&) [202]
                0.00    0.00       4/8           void std::_Construct<Linear, Linear const&>(Linear*, Linear const&) [185]
[174]    0.0    0.00    0.00       8         Linear::Linear(Linear const&) [174]
                0.00    0.00       8/8           std::vector<Neuron, std::allocator<Neuron> >::vector(std::vector<Neuron, std::allocator<Neuron> > const&) [176]
-----------------------------------------------
                0.00    0.00       8/8           Neuron* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*) [177]
[175]    0.0    0.00    0.00       8         Neuron* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*) [175]
                0.00    0.00     280/358         void std::_Construct<Neuron, Neuron const&>(Neuron*, Neuron const&) [173]
                0.00    0.00     288/288         bool __gnu_cxx::operator!=<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > > const&, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > > const&) [415]
                0.00    0.00     280/280         __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >::operator*() const [417]
                0.00    0.00     280/776         Neuron* std::__addressof<Neuron>(Neuron&) [411]
                0.00    0.00     280/280         __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >::operator++() [416]
-----------------------------------------------
                0.00    0.00       8/8           Linear::Linear(Linear const&) [174]
[176]    0.0    0.00    0.00       8         std::vector<Neuron, std::allocator<Neuron> >::vector(std::vector<Neuron, std::allocator<Neuron> > const&) [176]
                0.00    0.00       8/8           Neuron* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*, Neuron>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*, std::allocator<Neuron>&) [178]
                0.00    0.00       8/32          std::_Vector_base<Neuron, std::allocator<Neuron> >::_M_get_Tp_allocator() const [464]
                0.00    0.00       8/8           __gnu_cxx::__alloc_traits<std::allocator<Neuron>, Neuron>::_S_select_on_copy(std::allocator<Neuron> const&) [521]
                0.00    0.00       8/56          std::vector<Neuron, std::allocator<Neuron> >::size() const [457]
                0.00    0.00       8/8           std::_Vector_base<Neuron, std::allocator<Neuron> >::_Vector_base(unsigned long, std::allocator<Neuron> const&) [534]
                0.00    0.00       8/18          std::allocator<Neuron>::~allocator() [485]
                0.00    0.00       8/54          std::_Vector_base<Neuron, std::allocator<Neuron> >::_M_get_Tp_allocator() [459]
                0.00    0.00       8/8           std::vector<Neuron, std::allocator<Neuron> >::end() const [526]
                0.00    0.00       8/8           std::vector<Neuron, std::allocator<Neuron> >::begin() const [527]
-----------------------------------------------
                0.00    0.00       8/8           Neuron* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*, Neuron>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*, std::allocator<Neuron>&) [178]
[177]    0.0    0.00    0.00       8         Neuron* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*) [177]
                0.00    0.00       8/8           Neuron* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*) [175]
-----------------------------------------------
                0.00    0.00       8/8           std::vector<Neuron, std::allocator<Neuron> >::vector(std::vector<Neuron, std::allocator<Neuron> > const&) [176]
[178]    0.0    0.00    0.00       8         Neuron* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*, Neuron>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*, std::allocator<Neuron>&) [178]
                0.00    0.00       8/8           Neuron* std::uninitialized_copy<__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*>(__gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, __gnu_cxx::__normal_iterator<Neuron const*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron*) [177]
-----------------------------------------------
                0.00    0.00   12000/12000       std::iterator_traits<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >::difference_type std::distance<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >) [180]
[179]    0.0    0.00    0.00   12000         std::iterator_traits<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >::difference_type std::__distance<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::random_access_iterator_tag) [179]
                0.00    0.00   12000/12000       decltype ((({parm#1}.base)())-(({parm#2}.base)())) std::operator-<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&) [181]
-----------------------------------------------
                0.00    0.00   12000/12000       void std::vector<float, std::allocator<float> >::_M_range_initialize<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::forward_iterator_tag) [150]
[180]    0.0    0.00    0.00   12000         std::iterator_traits<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >::difference_type std::distance<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >) [180]
                0.00    0.00   12000/12000       std::iterator_traits<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >::difference_type std::__distance<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::random_access_iterator_tag) [179]
                0.00    0.00   12000/24000       std::iterator_traits<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >::iterator_category std::__iterator_category<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&) [394]
-----------------------------------------------
                0.00    0.00   12000/12000       std::iterator_traits<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >::difference_type std::__distance<std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >, std::random_access_iterator_tag) [179]
[181]    0.0    0.00    0.00   12000         decltype ((({parm#1}.base)())-(({parm#2}.base)())) std::operator-<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&, std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > > const&) [181]
                0.00    0.00   12000/1093240     __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [115]
                0.00    0.00   24000/48000       std::move_iterator<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >::base() const [372]
-----------------------------------------------
                0.00    0.00   24000/24000       float* std::__copy_move_a<true, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*) [168]
[182]    0.0    0.00    0.00   24000         float* std::__niter_base<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [182]
                0.00    0.00   24000/6772960     __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const [80]
-----------------------------------------------
                0.00    0.00      60/60          std::vector<Neuron, std::allocator<Neuron> >::push_back(Neuron&&) [184]
[183]    0.0    0.00    0.00      60         Neuron& std::vector<Neuron, std::allocator<Neuron> >::emplace_back<Neuron>(Neuron&&) [183]
                0.00    0.00      12/12          void std::vector<Neuron, std::allocator<Neuron> >::_M_realloc_insert<Neuron>(__gnu_cxx::__normal_iterator<Neuron*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron&&) [186]
                0.00    0.00      48/60          void std::allocator_traits<std::allocator<Neuron> >::construct<Neuron, Neuron>(std::allocator<Neuron>&, Neuron*, Neuron&&) [211]
                0.00    0.00      60/192         Neuron&& std::forward<Neuron>(std::remove_reference<Neuron>::type&) [420]
                0.00    0.00      60/60          std::vector<Neuron, std::allocator<Neuron> >::back() [454]
                0.00    0.00      12/72          std::vector<Neuron, std::allocator<Neuron> >::end() [429]
-----------------------------------------------
                0.00    0.00      60/60          Linear::Linear(int, int) [112]
[184]    0.0    0.00    0.00      60         std::vector<Neuron, std::allocator<Neuron> >::push_back(Neuron&&) [184]
                0.00    0.00      60/60          Neuron& std::vector<Neuron, std::allocator<Neuron> >::emplace_back<Neuron>(Neuron&&) [183]
                0.00    0.00      60/60          std::remove_reference<Neuron&>::type&& std::move<Neuron&>(Neuron&) [455]
-----------------------------------------------
                0.00    0.00       2/4           Linear* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<Linear const*, std::vector<Linear, std::allocator<Linear> > >, Linear*>(__gnu_cxx::__normal_iterator<Linear const*, std::vector<Linear, std::allocator<Linear> > >, __gnu_cxx::__normal_iterator<Linear const*, std::vector<Linear, std::allocator<Linear> > >, Linear*) [205]
                0.00    0.00       2/4           Linear* std::__uninitialized_copy<false>::__uninit_copy<Linear const*, Linear*>(Linear const*, Linear const*, Linear*) [197]
[185]    0.0    0.00    0.00       4         void std::_Construct<Linear, Linear const&>(Linear*, Linear const&) [185]
                0.00    0.00       4/8           Linear::Linear(Linear const&) [174]
                0.00    0.00       4/2372592     operator new(unsigned long, void*) [81]
                0.00    0.00       4/10          Linear const& std::forward<Linear const&>(std::remove_reference<Linear const&>::type&) [516]
-----------------------------------------------
                0.00    0.00      12/12          Neuron& std::vector<Neuron, std::allocator<Neuron> >::emplace_back<Neuron>(Neuron&&) [183]
[186]    0.0    0.00    0.00      12         void std::vector<Neuron, std::allocator<Neuron> >::_M_realloc_insert<Neuron>(__gnu_cxx::__normal_iterator<Neuron*, std::vector<Neuron, std::allocator<Neuron> > >, Neuron&&) [186]
                0.00    0.00      24/24          Neuron* std::__uninitialized_move_if_noexcept_a<Neuron*, Neuron*, std::allocator<Neuron> >(Neuron*, Neuron*, Neuron*, std::allocator<Neuron>&) [196]
                0.00    0.00      12/22          void std::_Destroy<Neuron*, Neuron>(Neuron*, Neuron*, std::allocator<Neuron>&) [215]
                0.00    0.00      12/60          void std::allocator_traits<std::allocator<Neuron> >::construct<Neuron, Neuron>(std::allocator<Neuron>&, Neuron*, Neuron&&) [211]
                0.00    0.00      12/12          std::vector<Neuron, std::allocator<Neuron> >::_M_check_len(unsigned long, char const*) const [232]
                0.00    0.00      36/54          std::_Vector_base<Neuron, std::allocator<Neuron> >::_M_get_Tp_allocator() [459]
                0.00    0.00      24/48          __gnu_cxx::__normal_iterator<Neuron*, std::vector<Neuron, std::allocator<Neuron> > >::base() const [460]
                0.00    0.00      12/12          std::vector<Neuron, std::allocator<Neuron> >::begin() [511]
                0.00    0.00      12/12          __gnu_cxx::__normal_iterator<Neuron*, std::vector<Neuron, std::allocator<Neuron> > >::difference_type __gnu_cxx::operator-<Neuron*, std::vector<Neuron, std::allocator<Neuron> > >(__gnu_cxx::__normal_iterator<Neuron*, std::vector<Neuron, std::allocator<Neuron> > > const&, __gnu_cxx::__normal_iterator<Neuron*, std::vector<Neuron, std::allocator<Neuron> > > const&) [503]
                0.00    0.00      12/20          std::_Vector_base<Neuron, std::allocator<Neuron> >::_M_allocate(unsigned long) [481]
                0.00    0.00      12/192         Neuron&& std::forward<Neuron>(std::remove_reference<Neuron>::type&) [420]
                0.00    0.00      12/22          std::_Vector_base<Neuron, std::allocator<Neuron> >::_M_deallocate(Neuron*, unsigned long) [475]
-----------------------------------------------
                0.00    0.00       1/1           main [1]
[187]    0.0    0.00    0.00       1         Net::setLayers(std::vector<Linear, std::allocator<Linear> >, int) [187]
                0.00    0.00       2/2           std::vector<Linear, std::allocator<Linear> >::push_back(Linear const&) [192]
                0.00    0.00       2/8345134650     std::vector<Linear, std::allocator<Linear> >::operator[](unsigned long) [6]
-----------------------------------------------
                0.00    0.00       2/2           std::vector<Linear, std::allocator<Linear> >::push_back(Linear&&) [191]
[188]    0.0    0.00    0.00       2         Linear& std::vector<Linear, std::allocator<Linear> >::emplace_back<Linear>(Linear&&) [188]
                0.00    0.00       2/2           void std::vector<Linear, std::allocator<Linear> >::_M_realloc_insert<Linear>(__gnu_cxx::__normal_iterator<Linear*, std::vector<Linear, std::allocator<Linear> > >, Linear&&) [190]
                0.00    0.00       2/8           Linear&& std::forward<Linear>(std::remove_reference<Linear>::type&) [544]
                0.00    0.00       2/6           std::vector<Linear, std::allocator<Linear> >::end() [554]
                0.00    0.00       2/2           std::vector<Linear, std::allocator<Linear> >::back() [675]
-----------------------------------------------
                0.00    0.00       2/2           std::vector<Linear, std::allocator<Linear> >::push_back(Linear const&) [192]
[189]    0.0    0.00    0.00       2         void std::vector<Linear, std::allocator<Linear> >::_M_realloc_insert<Linear const&>(__gnu_cxx::__normal_iterator<Linear*, std::vector<Linear, std::allocator<Linear> > >, Linear const&) [189]
                0.00    0.00       2/2           void std::allocator_traits<std::allocator<Linear> >::construct<Linear, Linear const&>(std::allocator<Linear>&, Linear*, Linear const&) [203]
                0.00    0.00       4/8           Linear* std::__uninitialized_move_if_noexcept_a<Linear*, Linear*, std::allocator<Linear> >(Linear*, Linear*, Linear*, std::allocator<Linear>&) [200]
                0.00    0.00       2/7           void std::_Destroy<Linear*, Linear>(Linear*, Linear*, std::allocator<Linear>&) [221]
